"device_id","name","category","vendor_id","os","mds2_compliant","phi_flag","subnet","site"
1,Profit-focused exuding circuit,MRI Machine,1,Windows XP,false,true,"134.205.151.154/31",Dustintown
2,Synchronized executive encryption,X-Ray Machine,1,Ubuntu,true,true,"14.10.229.128/25",Brianview
3,Progressive stable challenge,MRI Machine,3,Windows 10,true,false,"160.0.0.0/5",Valerieburgh
4,Organized stable orchestration,Ultrasound,2,Windows 10,true,false,"120.199.249.96/27",Lake Paulastad
5,Extended impactful knowledgebase,Infusion System,3,Windows XP,true,false,"89.244.250.0/23",East Kathy
6,Cloned grid-enabled neural-net,Patient Monitor,4,Windows 7,false,true,"45.0.0.0/14",West Christopher
7,User-centric homogeneous superstructure,Patient Monitor,1,Ubuntu,true,true,"128.112.0.0/12",Port Rose
8,Visionary optimal application,Ultrasound,4,Red Hat,false,false,"21.179.216.0/21",Bradleyfort
9,Sharable grid-enabled customer loyalty,Ultrasound,2,Red Hat,false,false,"3.233.89.160/27",Lake Zacharyfurt
10,Persevering reciprocal contingency,Ultrasound,1,Ubuntu,true,false,"64.0.0.0/3",Weaverfort
11,Re-contextualized tertiary neural-net,CT Scanner,6,Windows XP,true,true,"183.0.0.0/11",South James
12,Configurable intangible info-mediaries,Patient Monitor,8,Windows XP,true,false,"141.160.0.0/11",Port Allenbury
13,Enterprise-wide holistic pricing structure,X-Ray Machine,5,Windows 7,true,true,"177.144.0.0/12",Rowehaven
14,Visionary 6thgeneration throughput,CT Scanner,4,Red Hat,true,false,"170.147.0.0/18",North Dana
15,Upgradable value-added capacity,MRI Machine,4,Windows 7,true,true,"128.0.0.0/5",New Johnnyfurt
16,Enterprise-wide multimedia info-mediaries,Ultrasound,1,Windows 10,false,false,"97.84.152.0/21",Lake Sarahaven
17,Customer-focused incremental collaboration,MRI Machine,3,Ubuntu,false,false,"24.0.0.0/6",Natashatown
18,Right-sized 5thgeneration infrastructure,Infusion System,9,Windows 7,false,true,"173.0.0.0/8",Karinaville
19,Customizable intangible conglomeration,Infusion System,5,Windows 10,true,true,"123.208.18.0/23",Jennamouth
20,Streamlined responsive array,Ultrasound,10,Windows 7,true,true,"104.58.0.0/15",West Mitchellmouth
21,Advanced exuding migration,Infusion System,7,Windows 10,true,true,"131.124.0.0/14",Grayhaven
22,Intuitive zero-defect model,MRI Machine,7,Windows XP,true,false,"217.208.0.0/14",Lake Scott
23,Operative executive intranet,CT Scanner,1,Ubuntu,false,false,"117.220.227.0/24",Campbellstad
24,Stand-alone 24hour open system,Infusion System,5,Windows XP,false,false,"103.193.144.0/20",South Mollyland
25,Open-source object-oriented benchmark,Patient Monitor,3,Red Hat,true,false,"53.158.71.0/25",Lake Kimberly
26,Extended bandwidth-monitored service-desk,Ultrasound,3,Red Hat,false,true,"196.199.18.128/25",Jonathanborough
27,De-engineered human-resource access,X-Ray Machine,9,Red Hat,false,true,"58.46.128.0/17",Hurstfurt
28,Up-sized attitude-oriented encryption,Patient Monitor,4,Red Hat,true,true,"180.88.0.0/15",Carterbury
29,Monitored 24hour adapter,CT Scanner,7,Windows 10,true,false,"223.163.23.240/29",Kathrynchester
30,Switchable system-worthy projection,X-Ray Machine,1,Red Hat,true,false,"44.120.176.0/22",North Timothybury
31,Phased intangible forecast,X-Ray Machine,9,Windows XP,true,true,"202.118.188.160/27",Port Brian
32,Devolved executive functionalities,Ultrasound,3,Ubuntu,false,true,"122.24.216.0/21",Kathleenview
33,Phased incremental strategy,X-Ray Machine,1,Windows XP,false,false,"210.238.0.0/17",Jonesside
34,Universal composite core,X-Ray Machine,10,Windows 7,true,false,"20.245.80.0/26",Evanburgh
35,Configurable multi-tasking infrastructure,Infusion System,9,Windows 10,false,true,"118.96.0.0/11",Haleyview
36,User-centric 24hour focus group,MRI Machine,8,Ubuntu,true,false,"62.216.0.0/14",Lake Tyrone
37,Cross-group multimedia customer loyalty,Ultrasound,1,Windows 10,false,true,"175.0.0.0/8",Brandonmouth
38,Devolved asymmetric superstructure,Patient Monitor,9,Ubuntu,true,false,"169.0.0.0/10",Pattersonstad
39,Vision-oriented system-worthy concept,Ultrasound,10,Red Hat,true,false,"176.0.0.0/4",Rachelberg
40,Diverse leadingedge projection,X-Ray Machine,1,Windows 7,true,false,"198.49.128.0/17",Dennishaven
41,Customizable exuding project,Infusion System,6,Windows 10,false,false,"13.166.13.117/32",Garymouth
42,Object-based mobile time-frame,Infusion System,1,Windows 7,false,false,"34.0.0.0/7",Powersfort
43,Mandatory dynamic toolset,X-Ray Machine,5,Windows 10,false,true,"64.0.0.0/3",New Shannonshire
44,Front-line dedicated hierarchy,X-Ray Machine,3,Ubuntu,true,false,"208.160.0.0/11",South Gabriellamouth
45,Switchable stable task-force,CT Scanner,2,Ubuntu,true,false,"140.16.12.0/22",Olivertown
46,Seamless bottom-line knowledgebase,Patient Monitor,8,Red Hat,false,true,"8.0.0.0/6",West David
47,Front-line scalable intranet,MRI Machine,2,Ubuntu,true,false,"219.128.0.0/9",South Randall
48,Optional mission-critical interface,Ultrasound,7,Windows 10,false,false,"70.41.162.200/29",Kimberlyland
49,Decentralized value-added circuit,X-Ray Machine,8,Red Hat,false,false,"190.153.224.0/23",North Susan
50,Adaptive 24hour archive,Patient Monitor,8,Windows XP,false,false,"214.55.60.144/30",West Jeffreyshire
51,Ergonomic intangible hierarchy,Infusion System,19,Windows 10,true,false,"180.144.218.204/30",New Jason
52,Enterprise-wide full-range matrices,Ultrasound,12,Ubuntu,true,true,"50.0.0.0/7",Hannashire
53,Seamless mission-critical info-mediaries,Ultrasound,14,Windows 7,false,false,"187.32.192.0/18",Angelaport
54,Reactive actuating hub,Infusion System,14,Windows 10,false,true,"120.186.208.0/21",West Shelly
55,Face-to-face impactful Internet solution,Patient Monitor,5,Windows XP,false,true,"131.131.0.0/17",East Caitlinport
56,Ameliorated stable matrix,X-Ray Machine,4,Windows 10,true,true,"144.0.0.0/5",Jenniferton
57,Team-oriented tertiary support,Ultrasound,9,Windows 7,false,true,"25.212.0.0/14",New Michelle
58,Implemented demand-driven solution,Infusion System,6,Red Hat,true,true,"104.0.0.0/5",Sanchezburgh
59,Intuitive encompassing strategy,CT Scanner,19,Windows XP,true,false,"222.190.195.128/26",North Michaelburgh
60,Implemented intangible utilization,Patient Monitor,11,Windows XP,false,false,"162.137.87.128/26",Brianachester
61,Enhanced reciprocal hub,CT Scanner,7,Windows 7,true,false,"71.0.0.0/10",South Adam
62,Extended fault-tolerant approach,X-Ray Machine,11,Windows 7,false,true,"213.193.80.0/20",Mistyfort
63,Universal global adapter,MRI Machine,2,Windows 7,false,false,"184.248.128.0/18",Ginafurt
64,Inverse transitional hardware,MRI Machine,1,Red Hat,false,true,"50.9.41.168/29",North Michael
65,Innovative directional algorithm,Infusion System,14,Ubuntu,true,true,"105.170.0.0/15",West Matthewmouth
66,Progressive full-range moderator,CT Scanner,6,Windows 7,false,false,"220.135.192.0/18",Michaelstad
67,Compatible local parallelism,Patient Monitor,11,Windows 10,false,true,"13.112.0.0/14",West Shelleyville
68,Digitized multi-state challenge,X-Ray Machine,16,Windows 7,false,false,"160.140.0.0/14",Lake Kristine
69,Realigned demand-driven policy,CT Scanner,11,Ubuntu,false,true,"155.176.0.0/12",North Gabriela
70,Mandatory neutral support,CT Scanner,5,Ubuntu,false,false,"49.81.76.0/23",East Kelly
71,Object-based grid-enabled access,Ultrasound,12,Red Hat,false,true,"91.182.207.0/24",Lauraland
72,Upgradable mission-critical budgetary management,Infusion System,5,Windows XP,true,true,"93.0.0.0/9",Port Jamie
73,Inverse system-worthy success,X-Ray Machine,15,Windows XP,true,false,"150.249.45.96/27",East Sheilatown
74,Polarized didactic algorithm,Ultrasound,1,Windows 10,false,true,"71.196.229.166/31",New Stephenhaven
75,Distributed interactive core,Infusion System,15,Ubuntu,false,false,"191.142.135.93/32",Elizabethfort
76,Quality-focused global firmware,Infusion System,11,Windows XP,true,true,"113.169.170.172/31",South Derek
77,Profound executive groupware,MRI Machine,14,Windows 7,false,false,"180.76.132.146/31",East Tracy
78,Organic stable project,CT Scanner,20,Red Hat,true,false,"146.34.0.0/15",Lake Gina
79,Exclusive regional migration,Infusion System,6,Windows 7,true,true,"31.107.45.160/27",East Ryan
80,Self-enabling neutral conglomeration,CT Scanner,11,Ubuntu,false,false,"160.0.0.0/5",South Nancymouth
81,Advanced uniform budgetary management,MRI Machine,3,Red Hat,false,true,"32.0.0.0/3",South Sean
82,Polarized well-modulated open architecture,CT Scanner,6,Red Hat,false,false,"114.28.192.0/18",North Kristinside
83,Horizontal demand-driven migration,Patient Monitor,19,Windows 7,true,false,"78.96.0.0/11",Amandamouth
84,Seamless non-volatile frame,Patient Monitor,11,Red Hat,false,true,"128.0.0.0/3",East Michaelborough
85,Managed tertiary matrices,Patient Monitor,13,Windows 7,true,false,"103.33.192.0/19",Rhondaberg
86,Cloned system-worthy Graphical User Interface,MRI Machine,3,Windows 7,false,true,"56.108.0.0/16",East Christopherborough
87,Networked context-sensitive challenge,X-Ray Machine,17,Windows 7,true,true,"46.95.128.0/18",Carmenfurt
88,Object-based explicit project,Infusion System,9,Ubuntu,false,true,"123.136.32.0/23",Port Jason
89,Reduced modular portal,Infusion System,6,Red Hat,true,false,"185.120.0.0/14",Michaelville
90,Realigned even-keeled forecast,Ultrasound,14,Windows XP,false,false,"207.48.0.0/12",Archershire
91,Universal real-time ability,X-Ray Machine,4,Windows 7,false,false,"216.0.0.0/5",North Courtneyside
92,Switchable reciprocal encoding,Ultrasound,7,Windows 10,true,true,"49.31.63.0/25",Mooreberg
93,Business-focused encompassing focus group,Patient Monitor,4,Windows 7,false,true,"120.0.0.0/6",Laurenburgh
94,Sharable empowering paradigm,Ultrasound,1,Red Hat,false,true,"48.0.0.0/7",Thomasfurt
95,Enterprise-wide next generation conglomeration,Ultrasound,19,Ubuntu,true,true,"105.30.0.0/15",North Alejandra
96,Face-to-face incremental website,X-Ray Machine,8,Windows XP,false,true,"167.43.192.0/23",Port Allison
97,Persistent modular product,Infusion System,13,Ubuntu,true,true,"136.30.41.52/30",Lake Amanda
98,Optional maximized implementation,X-Ray Machine,14,Windows 7,true,true,"96.253.102.128/27",Cameronmouth
99,Profound bifurcated task-force,MRI Machine,15,Red Hat,true,true,"204.249.0.0/16",New Danielfurt
100,De-engineered fault-tolerant definition,MRI Machine,13,Red Hat,true,false,"146.190.192.0/20",Mckayborough
