"recall_id","device_id","recall_reason","date_flagged"
1,79,Capital reflect management check.,2025-01-28
2,86,Thing election especially himself imagine.,2025-05-11
3,6,Will reason finally himself.,2025-03-31
4,8,Born reality successful early wear without upon final.,2025-03-02
5,22,Able white compare today finally hour.,2025-05-13
6,92,Heart camera value personal.,2025-04-29
7,80,Another wait term way hope machine successful chair.,2025-03-09
8,9,Compare enter everybody trouble reality able yet.,2025-04-17
9,74,Federal also short door none contain town.,2025-02-02
10,29,Model surface rather fish two.,2025-02-15
11,95,Ten option air decade think two.,2025-01-22
12,55,Number second save.,2025-03-08
13,47,Attack suggest possible entire medical grow voice make.,2025-04-23
14,53,Certainly everything defense.,2025-03-27
15,54,Central air environment build.,2025-05-06
16,19,Language sense sign old during.,2025-04-16
17,98,Nor left she herself animal performance box fire.,2025-05-27
18,90,Window name start house listen it.,2025-07-11
19,40,Result tax decade Mr.,2025-01-16
20,96,Everyone position knowledge.,2025-04-18
21,51,These Mrs cold require determine yourself draw.,2025-05-06
22,84,Score theory reason life project score under.,2025-01-20
23,3,Forward doctor modern item serious.,2025-01-19
24,91,Traditional their Democrat laugh own rate.,2025-03-17
25,20,Example team indicate year good building growth.,2025-04-26
26,1,Find value choose meet manage address voice.,2025-02-08
27,66,Eye reduce same group why this.,2025-06-06
28,26,Natural military poor age figure edge child every.,2025-07-15
29,14,Type less food trip lawyer usually represent professor.,2025-07-10
30,64,Mention recognize music where imagine education cost.,2025-06-21
